Source,Target,Type,Id,Label,timeset,Weight
n44,n51,Directed,695,,,2
n44,n52,Directed,696,,,2
n44,n54,Directed,697,,,2
n45,n5,Directed,698,,,2
n45,n14,Directed,699,,,2
n45,n15,Directed,700,,,2
n45,n25,Directed,701,,,2
n45,n28,Directed,702,,,2
n45,n29,Directed,703,,,2
n45,n30,Directed,704,,,2
n45,n31,Directed,705,,,2
n45,n32,Directed,706,,,2
n45,n33,Directed,707,,,2
n45,n34,Directed,708,,,2
n45,n35,Directed,709,,,2
n45,n36,Directed,710,,,2
n45,n39,Directed,711,,,2
n45,n41,Directed,712,,,2
n45,n42,Directed,713,,,2
n45,n43,Directed,714,,,2
n45,n44,Directed,715,,,2
n45,n50,Directed,716,,,2
n45,n51,Directed,717,,,2
n45,n52,Directed,718,,,2
n45,n54,Directed,719,,,2
n46,n14,Directed,720,,,2
n46,n15,Directed,721,,,2
n46,n19,Directed,722,,,2
n46,n25,Directed,723,,,2
n46,n27,Directed,724,,,2
n46,n36,Directed,725,,,2
n46,n37,Directed,726,,,2
n46,n47,Directed,727,,,2
n46,n48,Directed,728,,,2
n46,n49,Directed,729,,,2
n46,n50,Directed,730,,,2
n46,n51,Directed,731,,,2
n46,n52,Directed,732,,,2
n46,n53,Directed,733,,,2
n46,n54,Directed,734,,,2
n46,n55,Directed,735,,,2
n46,n56,Directed,736,,,2
n46,n57,Directed,737,,,2
n46,n58,Directed,738,,,2
n46,n59,Directed,739,,,2
n46,n60,Directed,740,,,2
n46,n61,Directed,741,,,2
n46,n62,Directed,742,,,2
n46,n64,Directed,743,,,2
n47,n4,Directed,744,,,2
n47,n6,Directed,745,,,2
n47,n11,Directed,746,,,2
n47,n12,Directed,747,,,2
n47,n14,Directed,748,,,2
n47,n15,Directed,749,,,2
n47,n17,Directed,750,,,2
n47,n19,Directed,751,,,2
n47,n25,Directed,752,,,2
n47,n26,Directed,753,,,2
n47,n27,Directed,754,,,2
n47,n33,Directed,755,,,2
n47,n36,Directed,756,,,2
n47,n37,Directed,757,,,2
n47,n40,Directed,758,,,2
n47,n42,Directed,759,,,2
n47,n46,Directed,760,,,2
n47,n48,Directed,761,,,2
n47,n49,Directed,762,,,2
n47,n50,Directed,763,,,2
n47,n51,Directed,764,,,2
n47,n52,Directed,765,,,2
n47,n53,Directed,766,,,2
n47,n54,Directed,767,,,2
n47,n55,Directed,768,,,2
n47,n56,Directed,769,,,2
n47,n57,Directed,770,,,2
n47,n58,Directed,771,,,2
n47,n59,Directed,772,,,2
n47,n61,Directed,773,,,2
n47,n64,Directed,774,,,2
n48,n11,Directed,775,,,2
n48,n12,Directed,776,,,2
n48,n17,Directed,777,,,2
n48,n19,Directed,778,,,2
n48,n25,Directed,779,,,2
n48,n27,Directed,780,,,2
n48,n33,Directed,781,,,2
n48,n36,Directed,782,,,2
n48,n46,Directed,783,,,2
n48,n47,Directed,784,,,2
n48,n49,Directed,785,,,2
n48,n50,Directed,786,,,2
n48,n51,Directed,787,,,2
n48,n52,Directed,788,,,2
n48,n53,Directed,789,,,2
n48,n54,Directed,790,,,2
n48,n55,Directed,791,,,2
n48,n56,Directed,792,,,2
n48,n57,Directed,793,,,2
n48,n58,Directed,794,,,2
n48,n59,Directed,795,,,2
n48,n60,Directed,796,,,2
n48,n61,Directed,797,,,2
n48,n62,Directed,798,,,2
n48,n64,Directed,799,,,2
n49,n4,Directed,800,,,2
n49,n6,Directed,801,,,2
n49,n14,Directed,802,,,2
n49,n17,Directed,803,,,2
n49,n19,Directed,804,,,2
n49,n25,Directed,805,,,2
n49,n26,Directed,806,,,2
n49,n33,Directed,807,,,2
n49,n36,Directed,808,,,2
n49,n37,Directed,809,,,2
n49,n46,Directed,810,,,2
n49,n47,Directed,811,,,2
n49,n48,Directed,812,,,2
n49,n50,Directed,813,,,2
n49,n51,Directed,814,,,2
n49,n52,Directed,815,,,2
n49,n53,Directed,816,,,2
n49,n54,Directed,817,,,2
n49,n55,Directed,818,,,2
n49,n56,Directed,819,,,2
n49,n57,Directed,820,,,2
n49,n58,Directed,821,,,2
n49,n59,Directed,822,,,2
n49,n60,Directed,823,,,2
n49,n62,Directed,824,,,2
n49,n64,Directed,825,,,2
n50,n3,Directed,826,,,2
n50,n4,Directed,827,,,2
n50,n8,Directed,828,,,2
n50,n11,Directed,829,,,2
n50,n12,Directed,830,,,2
n50,n14,Directed,831,,,2
n50,n15,Directed,832,,,2
n50,n19,Directed,833,,,2
n50,n26,Directed,834,,,2
n50,n27,Directed,835,,,2
n50,n31,Directed,836,,,2
n50,n32,Directed,837,,,2
n50,n33,Directed,838,,,2
n50,n37,Directed,839,,,2
n50,n38,Directed,840,,,2
n50,n39,Directed,841,,,2
n50,n40,Directed,842,,,2
n50,n41,Directed,843,,,2
n50,n42,Directed,844,,,2
n50,n43,Directed,845,,,2
n50,n44,Directed,846,,,2
n50,n45,Directed,847,,,2
n50,n46,Directed,848,,,2
n50,n47,Directed,849,,,2
n50,n48,Directed,850,,,2
n50,n49,Directed,851,,,2
n50,n52,Directed,852,,,2
n50,n53,Directed,853,,,2
n50,n54,Directed,854,,,2
